speaker_id,duration,text,gender,age-group,native_place_state,native_place_district,primary_language,highest_qualification,job_category,audio_path,target
spk_001,12.02,Customer service will assist you with digital payment verification.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_00.wav,Central_MP
spk_001,6.4,We ordered fresh groceries and vegetables online yesterday.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_01.wav,Central_MP
spk_001,5.9,Customer service will assist you with digital payment verification.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_02.wav,Central_MP
spk_001,12.8,Customer service will assist you with digital payment verification.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_03.wav,Central_MP
spk_001,6.29,The historical museum is open on all government holidays.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_04.wav,Central_MP
spk_001,5.19,Customer service will assist you with digital payment verification.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_05.wav,Central_MP
spk_001,11.5,Please confirm your ticket reservation before boarding.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_06.wav,Central_MP
spk_001,6.91,Water supply in this district is managed by the local corporation.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_07.wav,Central_MP
spk_001,6.65,The historical museum is open on all government holidays.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_08.wav,Central_MP
spk_001,10.5,The historical museum is open on all government holidays.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_09.wav,Central_MP
spk_001,8.89,We ordered fresh groceries and vegetables online yesterday.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_10.wav,Central_MP
spk_001,9.72,The train leaves the platform at six thirty in the evening.,Male,18-30,Madhya Pradesh,Jabalpur,Hindi,Graduate,Full Time,data/audio/spk_001_11.wav,Central_MP
spk_002,13.76,The historical museum is open on all government holidays.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_00.wav,Central_MP
spk_002,5.82,Water supply in this district is managed by the local corporation.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_01.wav,Central_MP
spk_002,6.8,Water supply in this district is managed by the local corporation.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_02.wav,Central_MP
spk_002,10.33,The historical museum is open on all government holidays.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_03.wav,Central_MP
spk_002,12.74,Customer service will assist you with digital payment verification.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_04.wav,Central_MP
spk_002,9.05,We ordered fresh groceries and vegetables online yesterday.,Male,30-45,Madhya Pradesh,Gwalior,Hindi,Graduate,Full Time,data/audio/spk_002_05.wav,Central_MP
